日期,门店名称,门店id,省份,门店所在城市,区县市,营业收入,曝光人数,入店人数,入店转化率,下单转化率,下单人数
20250831,泉记木炭烧烤铺,29122115,广东省,佛山,南海区,-1.69,221,8,0.0362,0.0,0
20250825,泉记木炭烧烤铺,29122115,广东省,佛山,南海区,50.26,467,23,0.0493,0.1304,3
20250906,泉记木炭烧烤铺,29122115,广东省,佛山,南海区,-14.58,394,18,0.0457,0.0,0
20250914,泉记木炭烧烤铺,29122115,广东省,佛山,南海区,-4.24,195,4,0.0205,0.0,0
20250911,泉记木炭烧烤铺,29122115,广东省,佛山,南海区,-2.00,194,4,0.0206,0.0,0
20250909,泉记木炭烧烤铺,29122115,广东省,佛山,南海区,40.21,248,14,0.0565,0.1429,2
20250822,泉记木炭烧烤铺,29122115,广东省,佛山,南海区,28.29,209,11,0.0526,0.1818,2
20250902,泉记木炭烧烤铺,29122115,广东省,佛山,南海区,37.97,339,19,0.056,0.0526,1
20250829,泉记木炭烧烤铺,29122115,广东省,佛山,南海区,,249,14,0.0562,0.0,0
20250830,泉记木炭烧烤铺,29122115,广东省,佛山,南海区,21.12,228,7,0.0307,0.1429,1
20250827,泉记木炭烧烤铺,29122115,广东省,佛山,南海区,0.50,90,5,0.0556,0.0,0
20250824,泉记木炭烧烤铺,29122115,广东省,佛山,南海区,85.37,220,11,0.05,0.0909,1
20250907,泉记木炭烧烤铺,29122115,广东省,佛山,南海区,29.41,515,16,0.0311,0.0625,1
20250910,泉记木炭烧烤铺,29122115,广东省,佛山,南海区,-5.97,207,8,0.0386,0.0,0
20250916,泉记木炭烧烤铺,29122115,广东省,佛山,南海区,129.10,180,13,0.0722,0.2308,3
20250818,泉记木炭烧烤铺,29122115,广东省,佛山,南海区,85.54,1540,44,0.0286,0.0909,4
20250913,泉记木炭烧烤铺,29122115,广东省,佛山,南海区,-5.70,227,12,0.0529,0.0,0
20250821,泉记木炭烧烤铺,29122115,广东省,佛山,南海区,27.67,1460,52,0.0356,0.0192,1
20250904,泉记木炭烧烤铺,29122115,广东省,佛山,南海区,6.32,281,15,0.0534,0.0667,1
20250901,泉记木炭烧烤铺,29122115,广东省,佛山,南海区,,195,6,0.0308,0.0,0
20250905,泉记木炭烧烤铺,29122115,广东省,佛山,南海区,60.75,365,22,0.0603,0.0455,1
20250908,泉记木炭烧烤铺,29122115,广东省,佛山,南海区,48.30,558,25,0.0448,0.08,2
20250826,泉记木炭烧烤铺,29122115,广东省,佛山,南海区,-4.57,195,12,0.0615,0.0,0
20250823,泉记木炭烧烤铺,29122115,广东省,佛山,南海区,-2.55,418,20,0.0478,0.0,0
20250915,泉记木炭烧烤铺,29122115,广东省,佛山,南海区,55.14,189,12,0.0635,0.0833,1
20250819,泉记木炭烧烤铺,29122115,广东省,佛山,南海区,-40.95,242,14,0.0579,0.0,0
20250917,泉记木炭烧烤铺,29122115,广东省,佛山,南海区,18.59,283,19,0.0671,0.0526,1
20250912,泉记木炭烧烤铺,29122115,广东省,佛山,南海区,59.04,182,7,0.0385,0.1429,1
20250828,泉记木炭烧烤铺,29122115,广东省,佛山,南海区,-0.04,119,4,0.0336,0.0,0
20250903,泉记木炭烧烤铺,29122115,广东省,佛山,南海区,60.28,425,24,0.0565,0.0417,1
20250820,泉记木炭烧烤铺,29122115,广东省,佛山,南海区,12.93,602,17,0.0282,0.0588,1
